id,address,type,area
1011,S-A5-B6,Curve -Type A,1.699629
1012,S-B6-A7,Curve -Type A,1.62
1013,S-C5-B6,Curve -Type A,1.616
1014,S-B6-C7,Curve -Type A,1.674
1015,S-C5-D6,Curve -Type A,1.537
1016,S-D6-C7,Curve -Type A,1.623
1017,S-E5-D6,Curve -Type A,1.430555939
1018,S-D6-E7,Curve -Type A,1.550353406
1019,S-E5-F6,Curve -Type A,1.569736985
1020,S-F6-E7,Curve -Type A,1.545129326
1021,S-G5-F6,Curve -Type A,1.527188598
1022,S-F6-G7,Curve -Type A,1.559916838
1023,S-G5-H6,Curve -Type A,1.593878535
1024,S-H6-G7,Curve -Type A,1.474639402
1025,S-I5-H6,Curve -Type A,1.508
1026,S-H6-I7,Curve -Type A,1.513
1027,S-I5-J6,Curve -Type A,1.532
1028,S-J6-I7,Curve -Type A,1.393
1029,S-K5-J6,Curve -Type A,1.495
1030,S-J6-K7,Curve -Type A,1.502
1031,S-K5-L6,Curve -Type A,1.527
1032,S-L6-K7,Curve -Type A,1.394
1033,S-M5-L6,Curve -Type A,1.492
1034,S-L6-M7,Curve -Type A,1.496
1035,S-M5-N6,Curve -Type A,1.505
1036,S-N6-M7,Curve -Type A,1.394
1037,S-O5-N6,Curve -Type A,1.501
1038,S-N6-O7,Curve -Type A,1.482
1039,S-O5-P6,Curve -Type A,1.484
1040,S-P6-O7,Curve -Type A,1.4
1041,S-Q5-P6,Curve -Type A,1.517
1042,S-P6-Q7,Curve -Type A,1.494
1043,S-Q5-R6,Curve -Type A,1.471
1044,S-R6-Q7,Curve -Type A,1.431
1045,S-S5-R6,Curve -Type A,1.541
1046,S-R6-S7,Curve -Type A,1.497
1047,S-S5-T6,Curve -Type A,1.463
1048,S-T6-S7,Curve -Type A,1.453
1049,S-U5-T6,Curve -Type A,1.569
1050,S-T6-U7,Curve -Type A,1.52
1051,S-U5-V6,Curve -Type A,1.473
1052,S-V6-U7,Curve -Type A,1.492
1053,S-W5-V6,Curve -Type A,1.614
1054,S-V6-W7,Curve -Type A,1.562
1055,S-W5-X6,Curve -Type A,1.474
1056,S-X6-W7,Curve -Type A,1.537
1057,S-Y5-X6,Curve -Type A,1.592
1058,S-X6-Y7,Curve -Type A,1.566
1059,N-B6-A7,Curve -Type A,1.62
1060,N-A5-B6,Curve -Type A,1.699629
1061,N-B6-C7,Curve -Type A,1.674
1062,N-C5-B6,Curve -Type A,1.616
1063,N-D6-C7,Curve -Type A,1.623
1064,N-C5-D6,Curve -Type A,1.537
1065,N-D6-E7,Curve -Type A,1.550353406
1066,N-E5-D6,Curve -Type A,1.430555939
1067,N-F6-E7,Curve -Type A,1.545129326
1068,N-E5-F6,Curve -Type A,1.569736985
1069,N-F6-G7,Curve -Type A,1.559916838
1070,N-G5-F6,Curve -Type A,1.527188598
1071,N-H6-G7,Curve -Type A,1.474639402
1072,N-G5-H6,Curve -Type A,1.593878535
1073,N-H6-I7,Curve -Type A,1.513
1074,N-I5-H6,Curve -Type A,1.508
1075,N-J6-I7,Curve -Type A,1.393
1076,N-I5-J6,Curve -Type A,1.532
1077,N-J6-K7,Curve -Type A,1.502
1078,N-K5-J6,Curve -Type A,1.495
1079,N-L6-K7,Curve -Type A,1.394
1080,N-K5-L6,Curve -Type A,1.527
1081,N-L6-M7,Curve -Type A,1.496
1082,N-M5-L6,Curve -Type A,1.492
1083,N-N6-M7,Curve -Type A,1.394
1084,N-M5-N6,Curve -Type A,1.505
1085,N-N6-O7,Curve -Type A,1.482
1086,N-O5-N6,Curve -Type A,1.501
1087,N-P6-O7,Curve -Type A,1.4
1088,N-O5-P6,Curve -Type A,1.484
1089,N-P6-Q7,Curve -Type A,1.494
1090,N-Q5-P6,Curve -Type A,1.517
1091,N-R6-Q7,Curve -Type A,1.431
1092,N-Q5-R6,Curve -Type A,1.471
1093,N-R6-S7,Curve -Type A,1.497
1094,N-S5-R6,Curve -Type A,1.541
1095,N-T6-S7,Curve -Type A,1.453
1096,N-S5-T6,Curve -Type A,1.463
1097,N-T6-U7,Curve -Type A,1.52
1098,N-U5-T6,Curve -Type A,1.569
1099,N-V6-U7,Curve -Type A,1.492
1100,N-U5-V6,Curve -Type A,1.473
1101,N-V6-W7,Curve -Type A,1.562
1102,N-W5-V6,Curve -Type A,1.614
1103,N-X6-W7,Curve -Type A,1.537
1104,N-W5-X6,Curve -Type A,1.474
1105,N-X6-Y7,Curve -Type A,1.566
1106,N-Y5-X6,Curve -Type A,1.592
